id,latitude,longitude,name,full_name,ground,league,city,admin_0,admin_1,admin_2,wiki
b209d89c-78c4-4825-a933-dc85f07284b7,51.4817036110722,-0.190930366516113,Chelsea FC,Chelsea Football Club,Stamford Bridge,Premier League,London,United Kingdom,England,Greater London,http://en.wikipedia.org/wiki/Chelsea_F.C.
ba72483a-fff7-43d1-900d-1e28c923bb7b,51.5551146383757,-0.108575820922852,Arsenal FC,Arsenal Football Club,Emirates Stadium,Premier League,London,United Kingdom,England,Greater London,http://en.wikipedia.org/wiki/Arsenal_F.C.
a0770fce-cda6-49f4-a773-61b7e59505a0,51.6031988466685,-0.0657892227172852,Tottenham Hotspur FC,Tottenham Hotspur Football Club,White Hart Lane,Premier League,London,United Kingdom,England,Greater London,http://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.
b5b4661d-e079-435a-90a3-841debcec7c6,51.3982886186733,-0.0854229927062988,Crystal Palace FC,Crystal Palace Football Club,Selhurst Park,Premier League,London,United Kingdom,England,Greater London,http://en.wikipedia.org/wiki/Crystal_Palace_F.C.
ce6a4a80-319c-4453-88b8-6f53d3d65880,51.5319144307043,0.0394606590270996,West Ham United FC,West Ham United Football Club,The Boleyn Ground,Premier League,London,United Kingdom,England,Greater London,http://en.wikipedia.org/wiki/West_Ham_United_F.C.
86865964-cdea-4193-aca2-33f6f38b6724,51.5092900167638,-0.232107639312744,Queens Park Rangers FC,Queens Park Rangers Football Club,Loftus Road,Premier League,London,United Kingdom,England,Greater London,http://en.wikipedia.org/wiki/Queens_Park_Rangers_F.C.
a9848c2f-a1fe-487c-ae9d-fbd21793da6a,50.9058067988813,-1.39106869697571,Southampton FC,Southampton Football Club,St. Mary's,Premier League,Southampton,United Kingdom,England,Hampshire,http://en.wikipedia.org/wiki/Southampton_F.C.
64ed98f5-23e4-4b14-b617-42cfb32adb18,52.5089601366896,-1.96372032165527,West Bromwich Albion FC,West Bromwich Albion Football Club,The Hawthorns,Premier League,West Bromwich,United Kingdom,England,West Midlands,http://en.wikipedia.org/wiki/West_Bromwich_Albion_F.C.
afd39b27-b4f8-4a4c-9bb3-c7c6d1562a2a,52.5091233856462,-1.88473463058472,Aston Villa FC,Aston Villa Football Club,Villa Park,Premier League,Birmingham,United Kingdom,England,West Midlands,http://en.wikipedia.org/wiki/Aston_Villa_F.C.
1f748d08-d8dd-4b5c-acfe-7e08b9f582b3,53.4388828457943,-2.96629786491394,Everton FC,Everton Football Club,Goodison Park,Premier League,Liverpool,United Kingdom,England,Merseyside,http://en.wikipedia.org/wiki/Everton_F.C.
2109c2a1-79ae-4b36-b0de-e2e0124de406,53.4308422673045,-2.96085834503174,Liverpool FC,Liverpool Football Club,Anfield,Premier League,Liverpool,United Kingdo,England,Merseyside,http://en.wikipedia.org/wiki/Liverpool_F.C.
534e8112-ef33-4f17-a43f-73f7858c4308,53.7889965436219,-2.23023533821106,Burnley FC,Burnley Football Club,Turf Moor,Premier League,Burnley,United Kingdom,England,Lancashire,http://en.wikipedia.org/wiki/Burnley_F.C.
eb058216-4577-43d1-a53a-a1e5f4dcfbac,53.7462681861976,-0.367569923400879,Hull City AFC,Hull City Association Football Club,KC Stadium,Premier League,Kingston upon Hull,United Kingdom,England,East Riding of Yorkshire,http://en.wikipedia.org/wiki/Hull_City_A.F.C.
48514dd3-83da-4d50-a277-6baaa98a5f54,52.6204156983477,-1.14225625991821,Leicester City FC,Leicester City Football Club,King Power Stadium,Premier League,Leicester,United Kingdom,England,Leicestershire,http://en.wikipedia.org/wiki/Leicester_City_F.C.
6f464100-6159-49dd-bbc9-fbdcd3501808,53.4831682192828,-2.20037698745728,Manchester City FC,Manchester City Football Club,Etihad Stadium,Premier League,Manchester,United Kingdom,England,Greater Manchester,http://en.wikipedia.org/wiki/Manchester_City_F.C.
011a26a3-9bfb-4596-8be5-dada92412bdb,53.463040165706,-2.29128241539001,Manchester United FC,Manchester United Football Club,Old Trafford,Premier League,Manchester,United Kingdom,England,Greater Manchester,http://en.wikipedia.org/wiki/Manchester_United_F.C.
4682ba43-9bc4-4ac6-a1eb-16543f1cdf9c,54.9755694146798,-1.62171721458435,Newcastle United FC,Newcastle United Football Club,St. James' Park,Premier League,Newcastle upon Tyne,United Kingdom,England,Tyne and Wear,http://en.wikipedia.org/wiki/Newcastle_United_F.C.
2b4763c7-045f-4280-b413-6f00fa0a9cc8,54.9144400046374,-1.38818264007568,Sunderland AFC,Sunderland Association Football Club,Stadium of Light,Premier League,Sunderland,United Kingdom,England,Tyne and Wear,http://en.wikipedia.org/wiki/Sunderland_A.F.C.
44f50054-5f42-4474-ba2e-c7163789bfaa,52.9884212140572,-2.1754002571106,Stoke City FC,Stoke City Football Club,Britannia Stadium,Premier League,Stoke-on-Trent,United Kingdo,England,Staffordshire,http://en.wikipedia.org/wiki/Stoke_City_F.C.
062b80e7-21c0-4882-bc8a-5a221fd9d72a,51.6427641120973,-3.93465042114258,Swansea City AFC,Swansea City Association Football Club,Liberty Stadium,Premier League,Swansea,United Kingdom,Wales,West Glamorgan,http://en.wikipedia.org/wiki/Swansea_City_A.F.C.
